id_mutation,date_mutation,nature_mutation,price,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,type_local,nombre_pieces_principales,surface_terrain,longitude,latitude
2020-675677,2020-01-16,Vente,266667.0,14,,RUE ROGER SALENGRO,6100,69009,Lyon 9e Arrondissement,69,,89.0,Appartement,4,0.0,4.80673,45.77778
2020-675678,2020-01-17,Vente,23000.0,27,,RUE JACQUES - LOUIS HENON,3465,69004,Lyon 4e Arrondissement,69,,,Dépendance,0,0.0,4.82978,45.77932
2020-675679,2020-01-10,Vente,797700.0,38,,RUE ALBERT CHALINEL,0113,69009,Lyon 9e Arrondissement,69,,114.0,Appartement,4,0.0,4.82552,45.80139
2020-675679,2020-01-10,Vente,797700.0,38,,RUE ALBERT CHALINEL,0113,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.82552,45.80139
2020-675679,2020-01-10,Vente,797700.0,38,,RUE ALBERT CHALINEL,0113,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.82552,45.80139
2020-675680,2020-01-14,Vente,171000.0,10,,AV DE MENIVAL,4720,69005,Lyon 5e Arrondissement,69,65.73,69.0,Appartement,4,0.0,4.78605,45.75745
2020-675681,2020-01-20,Vente,151385.0,69,,RUE DE ST CYR,6295,69009,Lyon 9e Arrondissement,69,55.63,58.0,Appartement,2,0.0,4.80853,45.78782
2020-675682,2020-01-17,Vente,234800.0,195,,RUE JOLIOT CURIE,3895,69005,Lyon 5e Arrondissement,69,,67.0,Appartement,3,0.0,4.77609,45.75253
2020-675682,2020-01-17,Vente,234800.0,193,,RUE JOLIOT CURIE,3895,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.77609,45.75253
2020-675686,2020-01-13,Vente,418050.0,32,,RUE DE LA FAVORITE,2665,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.8106,45.75735
2020-675686,2020-01-13,Vente,418050.0,32,,RUE DE LA FAVORITE,2665,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.8106,45.75735
2020-675686,2020-01-13,Vente,418050.0,32,,RUE DE LA FAVORITE,2665,69005,Lyon 5e Arrondissement,69,95.14,95.0,Appartement,3,0.0,4.8106,45.75735
2020-675686,2020-01-13,Vente,418050.0,32,,RUE DE LA FAVORITE,2665,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.8106,45.75735
2020-675687,2020-01-08,Vente,740000.0,39,,RUE DENFERT ROCHEREAU,2130,69004,Lyon 4e Arrondissement,69,,,Dépendance,0,0.0,4.82602,45.777
2020-675687,2020-01-08,Vente,740000.0,39,,RUE DENFERT ROCHEREAU,2130,69004,Lyon 4e Arrondissement,69,119.31,123.0,Appartement,5,0.0,4.82602,45.777
2020-675688,2020-01-06,Vente,213000.0,14,,RUE VALENTIN COUTURIER,7230,69004,Lyon 4e Arrondissement,69,,89.0,Appartement,3,0.0,4.82847,45.77637
2020-675692,2020-01-09,Vente,30000.0,76,,RUE EUGENE PONS,2620,69004,Lyon 4e Arrondissement,69,,,Dépendance,0,0.0,4.84036,45.77906
2020-675693,2020-01-20,Vente,356200.0,28,,RUE BURDEAU,1155,69001,Lyon 1er Arrondissement,69,63.38,64.0,Appartement,3,0.0,4.83251,45.7702
2020-675697,2020-01-17,Vente,442000.0,17,,ALL HENRIETTE,3526,69005,Lyon 5e Arrondissement,69,,65.0,Maison,4,357.0,4.78664,45.74743
2020-675697,2020-01-17,Vente,442000.0,9001,,ALL HENRIETTE,3526,69005,Lyon 5e Arrondissement,69,,,,0,1666.0,4.78633,45.7476
2020-675698,2020-01-08,Vente,370000.0,26,,ALL ANDRE MURE,0259,69002,Lyon 2e Arrondissement,69,,,Dépendance,0,0.0,4.81621,45.74325
2020-675698,2020-01-08,Vente,370000.0,2,,QUAI ANTOINE RIBOUD,0334,69002,Lyon 2e Arrondissement,69,62.16,63.0,Appartement,3,0.0,4.81621,45.74325
2020-675699,2020-01-22,Vente,135000.0,49,,RUE PROFESSEUR PATEL,5775,69009,Lyon 9e Arrondissement,69,61.34,62.0,Appartement,3,0.0,4.79329,45.7658
2020-675699,2020-01-22,Vente,135000.0,43,,RUE PROFESSEUR PATEL,5775,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.79329,45.7658
2020-675700,2020-01-15,Vente,259400.0,5,,RUE DU BEAL,0746,69009,Lyon 9e Arrondissement,69,69.83,70.0,Appartement,3,0.0,4.79402,45.77237
2020-675700,2020-01-15,Vente,259400.0,5,,RUE DU BEAL,0746,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.79402,45.77237
2020-675701,2020-01-22,Vente,170000.0,13,,RUE NEUVE,5005,69001,Lyon 1er Arrondissement,69,,30.0,Appartement,1,0.0,4.83528,45.76541
2020-675704,2020-01-24,Vente,18000.0,18,,RUE DE ST CYR,6295,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.80745,45.77916
