latitude,longitude,airbnbValue,cadastreValue,ratio
45.76957,4.831892,12897,405839,0.03177861
45.756905,4.8415284,4344,148875,0.029178841
45.76657,4.8553853,17307,294950,0.05867774
45.753838,4.8572583,2750,306500,0.008972268
45.749413,4.844836,1153,350000,0.0032942856
45.740314,4.8642673,2679,170842,0.015681155
45.75435,4.846273,0,311750,0.0
45.75065,4.8521404,0,208083,0.0
45.769997,4.828356,3515,324387,0.010835823
45.7661,4.8211007,10304,395030,0.026084095
45.76067,4.8275747,10479,160700,0.065208465
45.770042,4.8493567,9640,327500,0.029435115
45.766495,4.829648,8476,779500,0.010873637
45.748238,4.8839855,4897,130000,0.03766923
45.779827,4.7976766,6572,242000,0.027157025
45.776054,4.8034444,8209,339493,0.024180174
45.755264,4.79012,19620,419150,0.046809018
45.75892,4.847623,5674,325050,0.017455775
45.76755,4.8316483,4493,367912,0.012212159
45.777428,4.83883,7187,233450,0.030786036
45.75209,4.824616,0,191700,0.0
45.774746,4.822179,2405,327750,0.00733791
45.749084,4.847287,7074,238800,0.029623115
45.74466,4.833347,5287,249230,0.021213338
45.760845,4.8321795,4329,2020000,0.0021430694
45.743835,4.870175,5896,199333,0.029578645
45.738014,4.867327,29,275666,1.0519977E-4
45.73872,4.829071,7984,147824,0.054010175
45.76377,4.8631315,3337,285000,0.011708772
45.73356,4.838499,5941,197718,0.030047845
45.743332,4.8642287,0,296958,0.0
45.773,4.83844,6125,271150,0.022588972
45.76249,4.798092,6562,129000,0.050868217
45.76825,4.8360343,4435,181750,0.02440165
45.747955,4.881329,5813,155752,0.037322152
45.771156,4.8361034,13968,218133,0.06403433
45.768055,4.8439493,6656,618730,0.01075752
45.77889,4.811212,9163,293500,0.031219762
45.75729,4.8245263,4668,222187,0.02100933
45.7714,4.8051243,0,316882,0.0
45.76989,4.8269734,1496,315000,0.0047492064
45.766476,4.8441024,13188,351250,0.03754591
45.73781,4.8308787,0,247500,0.0
45.743427,4.824464,1082,255141,0.0042407922
45.752213,4.849203,2165,329616,0.0065682493
45.777916,4.809434,5765,254100,0.022687918
45.753036,4.829939,3596,330000,0.01089697
45.784107,4.794774,1917,168250,0.011393759
45.778477,4.832997,3252,354475,0.009174131
45.75519,4.8658547,8211,261000,0.03145977
45.75578,4.8168173,1190,120000,0.009916667
45.758453,4.8263535,27624,354800,0.07785795
45.757362,4.8158,4017,185000,0.021713514
45.769863,4.85959,2198,209500,0.010491647
45.765938,4.8376575,7514,428000,0.017556075
45.75292,4.8434286,2655,252250,0.010525272
45.76922,4.823867,15628,260966,0.059885196
45.777138,4.833828,2123,306625,0.006923767
45.771664,4.810706,6451,316690,0.020370077
45.74064,4.866987,49549,336500,0.14724815
45.75692,4.801276,4646,217900,0.021321706
45.74635,4.878773,0,160000,0.0
45.763687,4.79067,386,189387,0.0020381548
45.756065,4.856188,4955,211875,0.02338643
45.748547,4.78451,5541,416100,0.01331651
45.767994,4.8300643,1394,353600,0.0039423076
45.773537,4.8057065,190,167948,0.0011313026
45.774773,4.8318057,0,240000,0.0
45.751884,4.844432,615,278243,0.002210298
45.753193,4.78195,4399,215680,0.020395957
45.7631,4.851784,3568,130000,0.027446155
45.779247,4.82839,19764,369966,0.053421125
45.74306,4.871999,1005,288000,0.0034895833
45.772423,4.834312,10837,290073,0.03735956
45.75248,4.839984,1489,253666,0.0058699236
45.762627,4.843184,4941,193433,0.025543729
45.757603,4.8353,10212,333593,0.030612154
45.76376,4.829029,6787,625000,0.0108592
45.736046,4.8370957,1781,115677,0.015396319
45.760906,4.8204327,26841,224000,0.11982589
45.753754,4.8552,8959,290025,0.03089044
45.7666,4.849028,3814,526340,0.0072462666
45.776222,4.8062844,8022,202900,0.03953672
45.751644,4.829384,7523,535916,0.014037647
45.769783,4.825085,2375,265025,0.008961419
45.74595,4.873526,618,413000,0.0014963681
45.738216,4.864505,31188,235190,0.13260768
45.769775,4.854864,4016,300987,0.013342769
45.78048,4.8348327,8056,153843,0.052365072
45.748558,4.8633747,8397,224056,0.037477236
45.786755,4.791245,10954,189300,0.05786582
45.763416,4.86954,3453,205302,0.016819125
45.7666,4.841581,3294,641900,0.0051316405
45.782036,4.8235183,42,245000,1.7142858E-4
45.763836,4.826638,13881,344400,0.040304877
45.741604,4.821179,0,265196,0.0
45.75334,4.839543,8644,125000,0.069152
45.773094,4.8296666,8103,285500,0.028381787
45.767185,4.814452,10032,165000,0.0608
45.745556,4.8386145,0,190000,0.0
45.770805,4.831997,9734,245095,0.03971521
45.777348,4.824219,1126,384758,0.002926515
45.76732,4.857399,9536,295000,0.032325424
45.75359,4.80886,0,204500,0.0
45.789116,4.815797,2199,135000,0.01628889
45.754646,4.8680534,9407,183800,0.05118063
45.743546,4.8491945,2712,191900,0.014132361
45.772102,4.828245,2600,256978,0.010117598
45.74377,4.820898,8908,250000,0.035632
45.752926,4.8646183,5454,235000,0.02320851
45.748844,4.8485537,5885,279380,0.0210645
45.754883,4.8439374,7615,302500,0.025173554
45.759174,4.845864,8397,189900,0.04421801
45.740974,4.88156,2094,194210,0.010782143
45.7548,4.8264494,16896,244975,0.0689703
45.77056,4.8366847,2226,516542,0.004309427
45.738453,4.8192034,29298,330287,0.088704675
45.74721,4.8672414,17317,308425,0.05614655
45.777924,4.8070374,4007,309375,0.012951919
45.773376,4.8024316,9170,235618,0.038918927
45.76365,4.83828,0,725775,0.0
45.76287,4.8661323,13511,185900,0.07267886
