id_mutation,date_mutation,nature_mutation,price,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,type_local,nombre_pieces_principales,surface_terrain,longitude,latitude
2020-681012,2020-11-12,Vente,255000.0,199,,RUE JOLIOT CURIE,3895,69005,Lyon 5e Arrondissement,69,,83.0,Appartement,4,0.0,4.77459,45.75289
2020-681012,2020-11-12,Vente,255000.0,199,,RUE JOLIOT CURIE,3895,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.77459,45.75289
2020-681014,2020-11-20,Vente,650000.0,3,,IMP DES CYTISES,2065,69005,Lyon 5e Arrondissement,69,,,,0,733.0,4.79426,45.75711
2020-681018,2020-11-12,Vente,744700.0,3,,RUE DU PLAT,5585,69002,Lyon 2e Arrondissement,69,96.18,98.0,Appartement,4,0.0,4.83004,45.75865
2020-681019,2020-11-12,Vente,640000.0,15,,RUE VICTOR HUGO,7405,69002,Lyon 2e Arrondissement,69,90.06,54.0,Appartement,1,0.0,4.83098,45.75553
2020-681019,2020-11-12,Vente,640000.0,15,,RUE VICTOR HUGO,7405,69002,Lyon 2e Arrondissement,69,,179.0,Appartement,6,0.0,4.83098,45.75553
2020-681021,2020-11-12,Vente,378400.0,10,,RUE TABLES CLAUDIENNES,6880,69001,Lyon 1er Arrondissement,69,,102.0,Appartement,2,0.0,4.83218,45.77073
2020-681023,2020-11-24,Vente,1026500.0,19,B,RUE DE TOURVIELLE,7072,69005,Lyon 5e Arrondissement,69,,,,0,261.0,4.79414,45.75345
2020-681023,2020-11-24,Vente,1026500.0,19,T,RUE DE TOURVIELLE,7072,69005,Lyon 5e Arrondissement,69,,161.0,Maison,5,543.0,4.79397,45.75336
2020-681024,2020-11-20,Vente,300700.0,22,,MTE BONNAFOUS,0985,69004,Lyon 4e Arrondissement,69,,57.0,Appartement,3,0.0,4.83705,45.77554
2020-681026,2020-11-20,Vente,198000.0,108,,RUE DOCTEUR EDMOND LOCARD,2223,69005,Lyon 5e Arrondissement,69,39.09,56.0,Appartement,2,0.0,4.79459,45.76025
2020-681026,2020-11-20,Vente,198000.0,110,,RUE DOCTEUR EDMOND LOCARD,2223,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.79459,45.76025
2020-681027,2020-11-20,Vente,457550.0,11,,RUE ARTAUD,0490,69004,Lyon 4e Arrondissement,69,,90.0,Appartement,4,0.0,4.83424,45.78164
2020-681027,2020-11-20,Vente,457550.0,11,,RUE ARTAUD,0490,69004,Lyon 4e Arrondissement,69,,,Dépendance,0,0.0,4.83424,45.78164
2020-681029,2020-11-12,Vente,1080000.0,17,,RUE JARENTE,3670,69002,Lyon 2e Arrondissement,69,,180.0,Appartement,6,0.0,4.82872,45.75423
2020-681032,2020-11-10,Vente,157000.0,250,,RUE DES ERABLES,2530,69009,Lyon 9e Arrondissement,69,,83.0,Appartement,4,0.0,4.79565,45.78264
2020-681033,2020-11-24,Vente,20000.0,19,,AV BARTHELEMY BUYER,0680,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.81114,45.75853
2020-681035,2020-11-10,Vente,884000.0,40,,RUE DU BON-PASTEUR,0980,69001,Lyon 1er Arrondissement,69,,,Dépendance,0,0.0,4.83139,45.77245
2020-681035,2020-11-10,Vente,884000.0,40,,RUE DU BON-PASTEUR,0980,69001,Lyon 1er Arrondissement,69,140.26,140.0,Appartement,5,0.0,4.83139,45.77245
2020-681037,2020-11-23,Vente,401100.0,4,,AV JOANNES MASSET,3885,69009,Lyon 9e Arrondissement,69,82.66,83.0,Appartement,3,0.0,4.79974,45.77244
2020-681037,2020-11-23,Vente,401100.0,4,,AV JOANNES MASSET,3885,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.79974,45.77244
2020-681038,2020-11-16,Vente,8000.0,16,,RUE JACQUARD,3630,69004,Lyon 4e Arrondissement,69,,140.0,Appartement,5,0.0,4.82812,45.77592
2020-681039,2020-11-26,Vente,200000.0,7,,QUAI DES ETROITS,2605,69005,Lyon 5e Arrondissement,69,40.1,40.0,Appartement,1,0.0,4.81893,45.75086
2020-681041,2020-08-24,Vente,195000.0,14,,RUE SAINT GEORGES,6365,69005,Lyon 5e Arrondissement,69,29.77,29.0,Appartement,1,0.0,4.8251,45.75876
2020-681042,2020-11-27,Vente,15000.0,51,,RUE DE LA CHARITE,1485,69002,Lyon 2e Arrondissement,69,8.19,45.0,Appartement,2,0.0,4.83057,45.7506
2020-681043,2020-11-26,Vente,405150.0,14,,RUE DES TUILERIES,7190,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.80389,45.77277
2020-681043,2020-11-26,Vente,405150.0,14,,RUE DES TUILERIES,7190,69009,Lyon 9e Arrondissement,69,88.0,88.0,Appartement,4,0.0,4.80389,45.77277
2020-681044,2020-11-05,Vente,213200.0,7,B,AV JOANNES MASSET,3885,69009,Lyon 9e Arrondissement,69,50.65,50.0,Appartement,2,0.0,4.80041,45.77222
2020-681044,2020-11-05,Vente,213200.0,9,,AV JOANNES MASSET,3885,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.80041,45.77222
2020-681045,2020-11-30,Vente,1600000.0,20,,RUE GASPARIN,3050,69002,Lyon 2e Arrondissement,69,,220.0,Local industriel. commercial ou assimilé,0,0.0,4.83307,45.75843
2020-681046,2020-11-05,Vente,8000.0,24,,RUE DE ST CYR,6295,69009,Lyon 9e Arrondissement,69,1.4,44.0,Appartement,1,0.0,4.8074,45.77993
2020-681047,2020-12-01,Vente,273050.0,104,,RUE COMMANDANT CHARCOT,1825,69005,Lyon 5e Arrondissement,69,95.74,98.0,Appartement,3,0.0,4.79543,45.74976
2020-681047,2020-12-01,Vente,273050.0,104,,RUE COMMANDANT CHARCOT,1825,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.79543,45.74976
