id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
2016-822900,2016-06-10,Vente,860000.0,5.0,,QUAI GENERAL DE GAULLE,0127,69250.0,69003,Albigny-sur-Saône,69,,260.0,6.0,704.0,4.834393,45.875286
2016-822900,2016-06-10,Vente,860000.0,5.0,,QUAI GENERAL DE GAULLE,0127,69250.0,69003,Albigny-sur-Saône,69,,260.0,6.0,3888.0,4.834393,45.875286
2016-822900,2016-06-10,Vente,860000.0,13.0,,PL DE LA GARE,0121,69250.0,69003,Albigny-sur-Saône,69,,,,1280.0,4.833242,45.875128
2016-823044,2016-06-27,Vente en l'état futur d'achèvement,161000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-823044,2016-06-27,Vente en l'état futur d'achèvement,161000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,44.0,2.0,,4.831207,45.859933
2016-823164,2016-07-05,Vente,346000.0,40.0,,TISON,B021,69250.0,69003,Albigny-sur-Saône,69,,120.0,4.0,818.0,4.82903,45.859606
2016-823164,2016-07-05,Vente,346000.0,40.0,,TISON,B021,69250.0,69003,Albigny-sur-Saône,69,,120.0,4.0,900.0,4.82903,45.859606
2016-823188,2016-06-13,Vente,310000.0,13.0,,PL DE LA GARE,0121,69250.0,69003,Albigny-sur-Saône,69,,,,1280.0,4.833242,45.875128
2016-823241,2016-07-08,Vente,85000.0,35.0,,AV HENRI BARBUSSE,0158,69250.0,69003,Albigny-sur-Saône,69,,,,117.0,,
2016-823241,2016-07-08,Vente,85000.0,35.0,,AV HENRI BARBUSSE,0158,69250.0,69003,Albigny-sur-Saône,69,,,,680.0,4.835281,45.857689
2016-823241,2016-07-08,Vente,85000.0,35.0,,QUAI GENERAL DE GAULLE,0127,69250.0,69003,Albigny-sur-Saône,69,,53.0,2.0,787.0,4.835587,45.857663
2016-823254,2016-07-07,Vente,264400.0,46.0,,AV GABRIEL PERI,0100,69250.0,69003,Albigny-sur-Saône,69,,130.0,4.0,90.0,4.831953,45.866257
2016-823312,2016-07-20,Vente en l'état futur d'achèvement,200000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,58.0,3.0,,4.831207,45.859933
2016-823312,2016-07-20,Vente en l'état futur d'achèvement,200000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-823312,2016-07-20,Vente en l'état futur d'achèvement,200000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-823313,2016-07-18,Vente en l'état futur d'achèvement,168000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,45.0,2.0,,4.831207,45.859933
2016-823313,2016-07-18,Vente en l'état futur d'achèvement,168000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-823371,2016-06-30,Vente,250000.0,23.0,,AV GABRIEL PERI,0100,69250.0,69003,Albigny-sur-Saône,69,,,,108.0,4.832542,45.870841
2016-823371,2016-06-30,Vente,250000.0,23.0,B,AV GABRIEL PERI,0100,69250.0,69003,Albigny-sur-Saône,69,,85.0,5.0,833.0,4.833379,45.870863
2016-823371,2016-06-30,Vente,250000.0,23.0,,AV GABRIEL PERI,0100,69250.0,69003,Albigny-sur-Saône,69,,,,622.0,4.833864,45.870909
2016-823372,2016-07-01,Vente,219000.0,23.0,,AV GABRIEL PERI,0100,69250.0,69003,Albigny-sur-Saône,69,,,,108.0,4.832542,45.870841
2016-823372,2016-07-01,Vente,219000.0,23.0,B,AV GABRIEL PERI,0100,69250.0,69003,Albigny-sur-Saône,69,,85.0,5.0,833.0,4.833379,45.870863
2016-823602,2016-07-12,Vente,113000.0,9.0,,AV HENRI BARBUSSE,0158,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.836055,45.862826
2016-823602,2016-07-12,Vente,113000.0,9.0,,AV HENRI BARBUSSE,0158,69250.0,69003,Albigny-sur-Saône,69,,38.0,2.0,,4.836055,45.862826
2016-823602,2016-07-12,Vente,113000.0,9.0,,AV HENRI BARBUSSE,0158,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.836055,45.862826
2016-823643,2016-07-27,Vente,284220.0,12.0,,RUE GERMAIN,0130,69250.0,69003,Albigny-sur-Saône,69,,105.0,4.0,87.0,4.833114,45.865645
2016-823643,2016-07-27,Vente,284220.0,12.0,,RUE GERMAIN,0130,69250.0,69003,Albigny-sur-Saône,69,,,,47.0,4.833197,45.865752
